system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,4.455,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,6.012,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,5.784,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,4.196,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,3.213,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,3.035,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,3.804,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,7.702,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,4.642,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,2.283,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,2.264,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,1.222,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,1.622,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,1.629,1,1,1
