sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
650,0.007917,0.006833,-0.001084
651,0.007958,0.006791,-0.001167
652,0.008041,0.006791,-0.00125
653,0.007916,0.006791,-0.001125
654,0.008,0.00675,-0.00125
655,0.008042,0.006833,-0.001209
656,0.007833,0.006833,-0.001
657,0.007916,0.006917,-0.000999
658,0.007833,0.00675,-0.001083
659,0.007833,0.006708,-0.001125
660,0.007875,0.006959,-0.000916
661,0.008125,0.00675,-0.001375
662,0.007917,0.00675,-0.001167
663,0.007875,0.006875,-0.001
664,0.007875,0.006833,-0.001042
665,0.007917,0.006833,-0.001084
666,0.00775,0.006875,-0.000875
667,0.008,0.006834,-0.001166
668,0.007917,0.006792,-0.001125
669,0.007875,0.006833,-0.001042
670,0.008084,0.00675,-0.001334
671,0.007917,0.006875,-0.001042
672,0.008,0.006834,-0.001166
673,0.008042,0.006792,-0.00125
674,0.007959,0.006792,-0.001167
675,0.00825,0.00675,-0.0015
676,0.008084,0.007125,-0.000959
677,0.008208,0.00675,-0.001458
678,0.009916,0.006792,-0.003124
679,0.008458,0.006833,-0.001625
680,0.00825,0.006791,-0.001459
681,0.008208,0.006875,-0.001333
682,0.008125,0.006833,-0.001292
683,0.007958,0.006791,-0.001167
684,0.007917,0.00675,-0.001167
685,0.007792,0.006792,-0.001
686,0.007875,0.006792,-0.001083
687,0.007875,0.006792,-0.001083
688,0.007833,0.006791,-0.001042
689,0.007959,0.006833,-0.001126
690,0.007916,0.006709,-0.001207
691,0.007916,0.006833,-0.001083
692,0.007833,0.007,-0.000833
693,0.008084,0.006709,-0.001375
694,0.007917,0.00675,-0.001167
695,0.008042,0.006791,-0.001251
696,0.007875,0.00675,-0.001125
697,0.007875,0.006834,-0.001041
698,0.007875,0.006833,-0.001042
699,0.00775,0.006875,-0.000875
700,0.007917,0.006792,-0.001125
701,0.007792,0.006792,-0.001
702,0.008,0.006833,-0.001167
703,0.007958,0.00675,-0.001208
704,0.007834,0.00675,-0.001084
705,0.007792,0.00675,-0.001042
706,0.008042,0.006708,-0.001334
707,0.007917,0.00675,-0.001167
708,0.007917,0.007,-0.000917
